Date,Description,Amount,Category,Month,Month_Num,Year,Type
2024-01-01,Unknown Transfer,45000.0,Shopping,January 2024,1,2024,Debit
2024-01-02,Domino's,244.97,Food & Dining,January 2024,1,2024,Debit
2024-01-02,Netflix,184.6,Entertainment,January 2024,1,2024,Debit
2024-01-02,OYO Rooms,3331.67,Travel,January 2024,1,2024,Debit
2024-01-03,Yatra,1497.52,Travel,January 2024,1,2024,Debit
2024-01-03,Petrol Pump,150.51,Transport,January 2024,1,2024,Debit
2024-01-04,Meesho,707.64,Shopping,January 2024,1,2024,Debit
2024-01-04,Subway,552.1,Food & Dining,January 2024,1,2024,Debit
2024-01-04,Bus Pass,152.47,Transport,January 2024,1,2024,Debit
2024-01-05,Ola,226.72,Transport,January 2024,1,2024,Debit
2024-01-06,Ola,261.33,Transport,January 2024,1,2024,Debit
2024-01-06,Yoga Studio,161.49,Health,January 2024,1,2024,Debit
2024-01-06,Society Maintenance,1884.95,Bills & Rent,January 2024,1,2024,Debit
2024-01-06,Udemy,10.0,Education,January 2024,1,2024,Debit
2024-01-06,Reliance Trends,597.89,Shopping,January 2024,1,2024,Debit
2024-01-07,Hotstar,29.39,Entertainment,January 2024,1,2024,Debit
2024-01-07,MakeMyTrip,218.76,Transport,January 2024,1,2024,Debit
2024-01-08,Uber,259.47,Transport,January 2024,1,2024,Debit
2024-01-08,Meesho,1116.02,Shopping,January 2024,1,2024,Debit
2024-01-08,House Rent,3386.74,Bills & Rent,January 2024,1,2024,Debit
2024-01-09,Auto Rickshaw,47.87,Transport,January 2024,1,2024,Debit
2024-01-09,IRCTC,208.93,Transport,January 2024,1,2024,Debit
2024-01-09,Spotify,145.23,Entertainment,January 2024,1,2024,Debit
2024-01-09,Myntra,854.95,Shopping,January 2024,1,2024,Debit
2024-01-10,IRCTC,273.5,Transport,January 2024,1,2024,Debit
2024-01-10,Bus Pass,98.77,Transport,January 2024,1,2024,Debit
2024-01-11,Subway,299.79,Food & Dining,January 2024,1,2024,Debit
2024-01-12,Rapido,253.4,Transport,January 2024,1,2024,Debit
2024-01-12,Blinkit,405.81,Food & Dining,January 2024,1,2024,Debit
2024-01-12,Lenskart,342.79,Entertainment,January 2024,1,2024,Debit
2024-01-13,Udemy,494.43,Education,January 2024,1,2024,Debit
2024-01-13,Bus Pass,268.62,Transport,January 2024,1,2024,Debit
2024-01-14,Myntra,898.63,Shopping,January 2024,1,2024,Debit
2024-01-14,Uber,218.89,Transport,January 2024,1,2024,Debit
2024-01-14,Society Maintenance,2189.04,Bills & Rent,January 2024,1,2024,Debit
2024-01-15,Auto Rickshaw,200.56,Transport,January 2024,1,2024,Debit
2024-01-15,Zomato,344.03,Food & Dining,January 2024,1,2024,Debit
2024-01-15,Reliance Trends,856.14,Shopping,January 2024,1,2024,Debit
2024-01-15,Reliance Trends,888.33,Shopping,January 2024,1,2024,Debit
2024-01-18,Rapido,291.67,Transport,January 2024,1,2024,Debit
